Date,Time,CPU001 User%,CPU001 Sys%,CPU001 Wait%,CPU001 CPU%,CPU002 User%,CPU002 Sys%,CPU002 Wait%,CPU002 CPU%,CPU003 User%,CPU003 Sys%,CPU003 Wait%,CPU003 CPU%,CPU004 User%,CPU004 Sys%,CPU004 Wait%,CPU004 CPU%,CPU005 User%,CPU005 Sys%,CPU005 Wait%,CPU005 CPU%,CPU006 User%,CPU006 Sys%,CPU006 Wait%,CPU006 CPU%,CPU007 User%,CPU007 Sys%,CPU007 Wait%,CPU007 CPU%,CPU008 User%,CPU008 Sys%,CPU008 Wait%,CPU008 CPU%,CPU_ALL User%,CPU_ALL Sys%,CPU_ALL Wait%,CPU_ALL CPU%,CPU_ALL Busy,CPU_ALL CPUs,DISKBSIZE sda,DISKBSIZE sda1,DISKBSIZE Total,DISKBUSY sda,DISKBUSY sda1,DISKREAD sda,DISKREAD sda1,DISKREAD Total,DISKWRITE sda,DISKWRITE sda1,DISKWRITE Total,DISKXFER sda,DISKXFER sda1,DISKXFER Total,JFSFILE /,JFSFILE /dev,JFSFILE /run,JFSFILE /,JFSFILE /dev/hugepages,JFSFILE /dev/mqueue,JFSFILE /run/user/0,MEM memtotal,MEM hightotal,MEM lowtotal,MEM swaptotal,MEM memfree,MEM highfree,MEM lowfree,MEM swapfree,MEM memshared,MEM cached,MEM active,MEM bigfree,MEM buffers,MEM swapcached,MEM inactive,MEM swapused,NET eth0-read-KB/s,NET lo-read-KB/s,NET eth0-write-KB/s,NET lo-write-KB/s,NETETOTAL total-read-KB/s,NETETOTAL total-write-KB/s,NETETOTAL total-KB/s,NETETOTAL total-read-packets/s,NETETOTAL total-write-packets/s,NETETOTAL total-packets/s,NETPACKET eth0-reads/s,NETPACKET lo-reads/s,NETPACKET eth0-writes/s,NETPACKET lo-writes/s,NETTOTAL eth0-KB/s,NETTOTAL eth0-packets/s,NETTOTAL lo-KB/s,NETTOTAL lo-packets/s,PROC Runnable,PROC Blocked,PROC pswitch,PROC syscall,PROC read,PROC write,PROC fork,PROC exec,PROC sem,PROC msg,zing-licensed (1191) %CPU,zing-licensed (1191) %Usr,zing-licensed (1191) %Sys,zing-licensed (1191) %Wait,zing-licensed (1191) Size,zing-licensed (1191) ResSet,zing-licensed (1191) ResText,zing-licensed (1191) ResData,zing-licensed (1191) ShdLib,zing-licensed (1191) MinorFault,zing-licensed (1191) MajorFault,rcuob/3 (12) %CPU,rcuob/3 (12) %Usr,rcuob/3 (12) %Sys,rcuob/3 (12) %Wait,rcuob/3 (12) Size,rcuob/3 (12) ResSet,rcuob/3 (12) ResText,rcuob/3 (12) ResData,rcuob/3 (12) ShdLib,rcuob/3 (12) MinorFault,rcuob/3 (12) MajorFault,rightlink (1365) %CPU,rightlink (1365) %Usr,rightlink (1365) %Sys,rightlink (1365) %Wait,rightlink (1365) Size,rightlink (1365) ResSet,rightlink (1365) ResText,rightlink (1365) ResData,rightlink (1365) ShdLib,rightlink (1365) MinorFault,rightlink (1365) MajorFault,rcu_sched (17) %CPU,rcu_sched (17) %Usr,rcu_sched (17) %Sys,rcu_sched (17) %Wait,rcu_sched (17) Size,rcu_sched (17) ResSet,rcu_sched (17) ResText,rcu_sched (17) ResData,rcu_sched (17) ShdLib,rcu_sched (17) MinorFault,rcu_sched (17) MajorFault,collectd (1941) %CPU,collectd (1941) %Usr,collectd (1941) %Sys,collectd (1941) %Wait,collectd (1941) Size,collectd (1941) ResSet,collectd (1941) ResText,collectd (1941) ResData,collectd (1941) ShdLib,collectd (1941) MinorFault,collectd (1941) MajorFault,systemd (1) %CPU,systemd (1) %Usr,systemd (1) %Sys,systemd (1) %Wait,systemd (1) Size,systemd (1) ResSet,systemd (1) ResText,systemd (1) ResData,systemd (1) ShdLib,systemd (1) MinorFault,systemd (1) MajorFault,nmon (20806) %CPU,nmon (20806) %Usr,nmon (20806) %Sys,nmon (20806) %Wait,nmon (20806) Size,nmon (20806) ResSet,nmon (20806) ResText,nmon (20806) ResData,nmon (20806) ShdLib,nmon (20806) MinorFault,nmon (20806) MajorFault,systemd-journal (295) %CPU,systemd-journal (295) %Usr,systemd-journal (295) %Sys,systemd-journal (295) %Wait,systemd-journal (295) Size,systemd-journal (295) ResSet,systemd-journal (295) ResText,systemd-journal (295) ResData,systemd-journal (295) ShdLib,systemd-journal (295) MinorFault,systemd-journal (295) MajorFault,rngd (378) %CPU,rngd (378) %Usr,rngd (378) %Sys,rngd (378) %Wait,rngd (378) Size,rngd (378) ResSet,rngd (378) ResText,rngd (378) ResData,rngd (378) ShdLib,rngd (378) MinorFault,rngd (378) MajorFault,dbus-daemon (382) %CPU,dbus-daemon (382) %Usr,dbus-daemon (382) %Sys,dbus-daemon (382) %Wait,dbus-daemon (382) Size,dbus-daemon (382) ResSet,dbus-daemon (382) ResText,dbus-daemon (382) ResData,dbus-daemon (382) ShdLib,dbus-daemon (382) MinorFault,dbus-daemon (382) MajorFault,systemd-logind (424) %CPU,systemd-logind (424) %Usr,systemd-logind (424) %Sys,systemd-logind (424) %Wait,systemd-logind (424) Size,systemd-logind (424) ResSet,systemd-logind (424) ResText,systemd-logind (424) ResData,systemd-logind (424) ShdLib,systemd-logind (424) MinorFault,systemd-logind (424) MajorFault,NetworkManager (426) %CPU,NetworkManager (426) %Usr,NetworkManager (426) %Sys,NetworkManager (426) %Wait,NetworkManager (426) Size,NetworkManager (426) ResSet,NetworkManager (426) ResText,NetworkManager (426) ResData,NetworkManager (426) ShdLib,NetworkManager (426) MinorFault,NetworkManager (426) MajorFault,ksoftirqd/5 (49) %CPU,ksoftirqd/5 (49) %Usr,ksoftirqd/5 (49) %Sys,ksoftirqd/5 (49) %Wait,ksoftirqd/5 (49) Size,ksoftirqd/5 (49) ResSet,ksoftirqd/5 (49) ResText,ksoftirqd/5 (49) ResData,ksoftirqd/5 (49) ShdLib,ksoftirqd/5 (49) MinorFault,ksoftirqd/5 (49) MajorFault,java (7664) %CPU,java (7664) %Usr,java (7664) %Sys,java (7664) %Wait,java (7664) Size,java (7664) ResSet,java (7664) ResText,java (7664) ResData,java (7664) ShdLib,java (7664) MinorFault,java (7664) MajorFault,VM nr_dirty,VM nr_writeback,VM nr_unstable,VM nr_page_table_pages,VM nr_mapped,VM nr_slab,VM pgpgin,VM pgpgout,VM pswpin,VM pswpout,VM pgfree,VM pgactivate,VM pgdeactivate,VM pgfault,VM pgmajfault,VM pginodesteal,VM slabs_scanned,VM kswapd_steal,VM kswapd_inodesteal,VM pageoutrun,VM allocstall,VM pgrotated,VM pgalloc_high,VM pgalloc_normal,VM pgalloc_dma,VM pgrefill_high,VM pgrefill_normal,VM pgrefill_dma,VM pgsteal_high,VM pgsteal_normal,VM pgsteal_dma,VM pgscan_kswapd_high,VM pgscan_kswapd_normal,VM pgscan_kswapd_dma,VM pgscan_direct_high,VM pgscan_direct_normal,VM pgscan_direct_dma
2017-06-30,08:00:35,75.200,2.700,0.000,77.900,66.400,6.000,0.000,72.400,95.800,1.700,0.000,97.500,78.000,4.200,0.000,82.200,75.200,4.300,0.000,79.500,77.700,3.600,0.000,81.300,84.500,3.400,0.000,87.900,84.600,3.400,0.000,88.000,79.700,3.600,0.000,83.300,0.000,8.000,7.100,7.100,7.100,1.600,2.400,0.000,0.000,0.000,149.400,149.400,149.400,21.100,21.100,21.100,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14226.000,-0.000,-0.000,0.000,-0.000,1103.200,1954.700,-1.000,0.800,0.000,399.500,0.000,613.000,0.000,783.500,0.000,613.000,783.500,1396.500,4821.900,4820.300,9642.200,4821.900,0.000,4820.300,0.000,1396.500,9642.200,0.000,0.000,9.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,,,,,,,,,,,,3685116003447210000.000,1813311049516338690.000,1871804953930871300.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.000,0.000,0.000,2432.000,23225.000,-1.000,0.000,184.000,0.000,0.000,11522.000,4.000,0.000,31493.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8060.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,08:00:45,92.400,1.200,0.000,93.600,89.800,1.600,0.000,91.400,90.900,1.600,0.000,92.500,95.500,1.300,0.000,96.800,91.500,1.200,0.000,92.700,93.000,1.600,0.000,94.600,94.100,1.700,0.000,95.800,86.200,1.500,0.000,87.700,91.700,1.500,0.000,93.200,0.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14225.600,-0.000,-0.000,0.000,-0.000,1103.300,1954.800,-1.000,0.800,0.000,399.500,0.000,164.100,0.000,240.900,0.000,164.100,240.900,405.000,1290.600,1292.900,2583.500,1290.600,0.000,1292.900,0.000,405.000,2583.500,0.000,0.000,14.000,0.000,3468.600,-1.000,-1.000,-1.000,0.200,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.131,91.660,1.471,0.000,47153127992.000,1212304.000,4.000,4335978728.000,26592.000,0.000,0.000,68.000,0.000,0.000,2432.000,23239.000,-1.000,0.000,0.000,0.000,0.000,4523.000,1.000,0.000,227.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4368.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,08:00:55,96.900,1.300,0.000,98.200,97.400,0.700,0.000,98.100,96.800,1.300,0.000,98.100,97.000,1.100,0.000,98.100,96.100,2.200,0.000,98.300,96.800,1.300,0.000,98.100,97.200,0.900,0.000,98.100,97.300,1.100,0.000,98.400,97.000,1.200,0.000,98.200,0.000,8.000,6.000,6.000,6.000,0.200,0.100,0.000,0.000,0.000,1.200,1.200,1.200,0.200,0.200,0.200,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14224.100,-0.000,-0.000,0.000,-0.000,1103.500,1955.200,-1.000,0.800,0.000,399.600,0.000,17.400,1.600,28.600,1.600,17.400,28.600,46.000,108.200,112.000,220.200,108.200,2.500,112.000,2.500,46.000,220.200,3.200,5.000,13.000,0.000,1363.400,-1.000,-1.000,-1.000,0.300,-1.000,-1.000,-1.000,0.037,0.000,0.037,0.000,52724.000,3104.000,80.000,596.000,2376.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.000,0.025,0.000,854828.000,4696.000,204.000,738064.000,2836.000,29.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.071,97.073,0.999,0.000,47153151128.000,1235800.000,4.000,4335978728.000,49824.000,584.000,0.000,105.000,0.000,0.000,2435.000,29014.000,-1.000,0.000,12.000,0.000,0.000,968.000,1.000,0.000,6333.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1420.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,08:01:05,96.400,0.900,0.000,97.300,96.600,1.200,0.000,97.800,96.100,1.300,0.000,97.400,96.100,1.800,0.000,97.900,96.300,1.300,0.000,97.600,96.800,1.100,0.000,97.900,96.700,1.300,0.000,98.000,96.400,0.900,0.000,97.300,96.400,1.200,0.000,97.600,0.000,8.000,52.500,52.500,52.500,0.300,0.400,0.000,0.000,0.000,42.000,42.000,42.000,0.800,0.800,0.800,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14224.200,-0.000,-0.000,0.000,-0.000,1103.600,1955.400,-1.000,0.800,0.000,399.600,0.000,17.200,0.000,16.500,0.000,17.200,16.500,33.700,41.400,53.900,95.300,41.400,0.000,53.900,0.000,33.700,95.300,0.000,0.000,12.000,0.000,1322.600,-1.000,-1.000,-1.000,2.900,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.013,0.013,0.000,14508.000,1052.000,112.000,3936.000,632.000,14.000,0.000,,,,,,,,,,,,,,,,,,,,,,,0.025,0.013,0.013,0.000,100624.000,2104.000,408.000,74576.000,1452.000,0.000,0.000,,,,,,,,,,,,0.025,0.013,0.013,0.000,524168.000,8784.000,1840.000,296312.000,6660.000,0.000,0.000,,,,,,,,,,,,97.571,96.597,0.974,0.000,47153151128.000,1235668.000,4.000,4335978728.000,49688.000,579.000,0.000,43.000,0.000,0.000,2435.000,29016.000,-1.000,0.000,420.000,0.000,0.000,2553.000,11.000,0.000,13329.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2534.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,08:01:16,97.000,1.400,0.000,98.400,97.000,1.300,0.000,98.300,97.300,0.800,0.000,98.100,96.800,1.000,0.000,97.800,97.500,0.700,0.000,98.200,96.600,1.500,0.000,98.100,96.600,1.200,0.000,97.800,96.800,1.200,0.000,98.000,97.000,1.100,0.000,98.100,0.000,8.000,14.000,14.000,14.000,0.200,0.200,0.000,0.000,0.000,5.600,5.600,5.600,0.400,0.400,0.400,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14221.500,-0.000,-0.000,0.000,-0.000,1103.700,1955.500,-1.000,0.800,0.000,399.600,0.000,8.800,0.900,20.300,0.900,8.800,20.300,29.100,48.900,59.900,108.800,48.900,0.800,59.900,0.800,29.100,108.800,1.800,1.600,15.000,0.000,1240.800,-1.000,-1.000,-1.000,0.200,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.013,0.013,0.000,854828.000,4696.000,204.000,738064.000,2836.000,29.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.905,96.995,0.910,0.000,47153151128.000,1235796.000,4.000,4335978728.000,49804.000,576.000,0.000,59.000,0.000,0.000,2435.000,29016.000,-1.000,0.000,56.000,0.000,0.000,847.000,2.000,0.000,6235.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1437.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,08:01:26,96.500,1.400,0.000,97.900,96.900,0.900,0.000,97.800,96.400,1.200,0.000,97.600,97.000,0.800,0.000,97.800,96.700,1.000,0.000,97.700,96.700,1.200,0.000,97.900,96.500,1.400,0.000,97.900,97.100,0.600,0.000,97.700,96.700,1.100,0.000,97.800,0.000,8.000,4.000,4.000,4.000,0.100,0.100,0.400,0.400,0.400,0.000,0.000,0.000,0.100,0.100,0.100,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14221.400,-0.000,-0.000,0.000,-0.000,1103.900,1956.400,-1.000,0.800,0.000,399.600,0.000,16.300,1.100,22.100,1.100,16.300,22.100,38.400,36.600,44.400,81.000,36.600,8.500,44.400,8.500,38.400,81.000,2.200,17.000,11.000,0.000,1190.100,-1.000,-1.000,-1.000,1.500,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.784,96.910,0.874,0.000,47153155232.000,1236536.000,4.000,4335982832.000,49912.000,595.000,0.000,95.000,0.000,0.000,2435.000,29016.000,-1.000,4.000,0.000,0.000,0.000,448.000,27.000,0.000,6116.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,614.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,08:01:36,98.300,0.700,0.000,99.000,97.800,1.100,0.000,98.900,97.800,1.100,0.000,98.900,97.700,1.100,0.000,98.800,97.500,1.400,0.000,98.900,97.900,1.100,0.000,99.000,97.600,1.400,0.000,99.000,97.700,1.000,0.000,98.700,97.800,1.100,0.000,98.900,0.000,8.000,38.000,38.000,38.000,0.200,0.200,0.000,0.000,0.000,45.600,45.600,45.600,1.200,1.200,1.200,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14221.400,-0.000,-0.000,0.000,-0.000,1104.000,1956.500,-1.000,0.800,0.000,399.600,0.000,2.000,1.300,5.300,1.300,2.000,5.300,7.300,12.700,14.000,26.700,12.700,1.800,14.000,1.800,7.300,26.700,2.600,3.600,12.000,0.000,959.700,-1.000,-1.000,-1.000,0.200,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.000,0.025,0.000,854828.000,4696.000,204.000,738064.000,2836.000,29.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.864,97.940,0.924,0.000,47153132096.000,1213472.000,4.000,4335982832.000,26848.000,1.000,0.000,20.000,0.000,0.000,2432.000,23241.000,-1.000,0.000,456.000,0.000,0.000,760.000,0.000,0.000,463.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,731.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,08:01:46,97.800,0.800,0.000,98.600,98.000,1.200,0.000,99.200,98.200,0.900,0.000,99.100,98.300,0.900,0.000,99.200,98.100,1.200,0.000,99.300,98.000,1.200,0.000,99.200,97.900,1.100,0.000,99.000,98.200,0.900,0.000,99.100,98.100,1.000,0.000,99.100,0.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14221.300,-0.000,-0.000,0.000,-0.000,1104.000,1956.500,-1.000,0.800,0.000,399.600,0.000,7.900,0.000,20.500,0.000,7.900,20.500,28.400,62.700,64.800,127.500,62.700,0.000,64.800,0.000,28.400,127.500,0.000,0.000,14.000,0.000,962.700,-1.000,-1.000,-1.000,0.200,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.044,98.206,0.838,0.000,47153132096.000,1213472.000,4.000,4335982832.000,26848.000,0.000,0.000,41.000,0.000,0.000,2432.000,23241.000,-1.000,0.000,0.000,0.000,0.000,421.000,0.000,0.000,168.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,250.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,08:01:56,90.800,1.100,0.000,91.900,91.000,1.500,0.000,92.500,93.600,0.900,0.000,94.500,90.100,1.800,0.000,91.900,82.700,2.200,0.000,84.900,81.300,1.800,0.000,83.100,85.300,1.900,0.000,87.200,87.100,1.000,0.000,88.100,87.700,1.600,0.000,89.300,0.000,8.000,6.400,6.400,6.400,0.500,0.400,0.000,0.000,0.000,3.200,3.200,3.200,0.500,0.500,0.500,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14222.800,-0.000,-0.000,0.000,-0.000,1104.100,1956.600,-1.000,0.800,0.000,399.600,0.000,352.200,0.900,449.600,0.900,352.200,449.600,801.800,2745.400,2747.300,5492.700,2745.400,0.800,2747.300,0.800,801.800,5492.700,1.800,1.600,9.000,0.000,5881.900,-1.000,-1.000,-1.000,0.300,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.365,87.629,1.736,0.000,47153132096.000,1213472.000,4.000,4335982832.000,26848.000,0.000,0.000,54.000,0.000,0.000,2432.000,23241.000,-1.000,0.000,32.000,0.000,0.000,9756.000,1.000,0.000,461.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9522.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,08:02:06,81.200,2.400,0.000,83.600,86.900,1.800,0.000,88.700,79.800,2.000,0.000,81.800,84.000,1.900,0.000,85.900,91.200,1.200,0.000,92.400,85.300,1.200,0.000,86.500,90.800,0.800,0.000,91.600,96.100,0.700,0.000,96.800,86.900,1.500,0.000,88.400,0.000,8.000,47.300,47.300,47.300,0.200,0.200,0.000,0.000,0.000,28.400,28.400,28.400,0.600,0.600,0.600,2.000,0.000,0.000,2.000,0.000,0.000,0.000,52335.600,-0.000,-0.000,0.000,14221.700,-0.000,-0.000,0.000,-0.000,1104.200,1956.600,-1.000,0.800,0.000,399.700,0.000,354.700,0.000,452.800,0.000,354.700,452.800,807.500,2775.400,2778.400,5553.800,2775.400,0.000,2778.400,0.000,807.500,5553.800,0.000,0.000,11.000,0.000,5978.800,-1.000,-1.000,-1.000,0.200,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,0.037,0.000,0.000,4376.000,588.000,20.000,380.000,496.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.451,86.815,1.636,0.000,47153132096.000,1213472.000,4.000,4335982832.000,26848.000,1.000,0.000,10.000,0.000,0.000,2432.000,23241.000,-1.000,0.000,320.000,0.000,0.000,9502.000,0.000,0.000,175.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9788.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
