PID,Name,StartDate,StartTime,EndDate,EndTime,CommandLine
1191,zing-licensed,2017-06-30,08:00:55,2017-06-30,08:10:56,""
1941,collectd,2017-06-30,08:00:55,2017-06-30,08:15:16,""
1,systemd,2017-06-30,08:10:06,2017-06-30,08:15:16,""
20806,nmon,2017-06-30,08:01:05,2017-06-30,08:15:06,""
378,rngd,2017-06-30,08:02:06,2017-06-30,08:15:16,""
382,dbus-daemon,2017-06-30,08:01:05,2017-06-30,08:15:16,""
426,NetworkManager,2017-06-30,08:01:05,2017-06-30,08:01:05,""
49,ksoftirqd/5,2017-06-30,08:03:06,2017-06-30,08:14:16,""
1365,rightlink,2017-06-30,08:04:36,2017-06-30,08:08:36,""
17,rcu_sched,2017-06-30,08:15:06,2017-06-30,08:15:06,""
295,systemd-journal,2017-06-30,08:15:06,2017-06-30,08:15:16,""
424,systemd-logind,2017-06-30,08:15:06,2017-06-30,08:15:06,""
12,rcuob/3,2017-06-30,08:00:35,2017-06-30,08:00:35,""
7664,java,2017-06-30,08:00:45,2017-06-30,08:15:26,""
