Date,Time,CPU001 User%,CPU001 Sys%,CPU001 Wait%,CPU001 CPU%,CPU002 User%,CPU002 Sys%,CPU002 Wait%,CPU002 CPU%,CPU_ALL User%,CPU_ALL Sys%,CPU_ALL Wait%,CPU_ALL CPU%,CPU_ALL Busy,CPU_ALL CPUs,DISKBSIZE sda,DISKBSIZE sda1,DISKBSIZE Total,DISKBUSY sda,DISKBUSY sda1,DISKREAD sda,DISKREAD sda1,DISKREAD Total,DISKWRITE sda,DISKWRITE sda1,DISKWRITE Total,DISKXFER sda,DISKXFER sda1,DISKXFER Total,JFSFILE /,JFSFILE /dev,JFSFILE /run,JFSFILE /,JFSFILE /dev/mqueue,JFSFILE /dev/hugepages,JFSFILE /var/lib/docker/overlay,JFSFILE /run/user/0,MEM memtotal,MEM hightotal,MEM lowtotal,MEM swaptotal,MEM memfree,MEM highfree,MEM lowfree,MEM swapfree,MEM memshared,MEM cached,MEM active,MEM bigfree,MEM buffers,MEM swapcached,MEM inactive,MEM swapused,NET veth116834d-read-KB/s,NET eth0-read-KB/s,NET lo-read-KB/s,NET docker0-read-KB/s,NET veth116834d-write-KB/s,NET eth0-write-KB/s,NET lo-write-KB/s,NET docker0-write-KB/s,NETETOTAL total-read-KB/s,NETETOTAL total-write-KB/s,NETETOTAL total-KB/s,NETETOTAL total-read-packets/s,NETETOTAL total-write-packets/s,NETETOTAL total-packets/s,NETPACKET veth116834d-reads/s,NETPACKET eth0-reads/s,NETPACKET lo-reads/s,NETPACKET docker0-reads/s,NETPACKET veth116834d-writes/s,NETPACKET eth0-writes/s,NETPACKET lo-writes/s,NETPACKET docker0-writes/s,NETTOTAL docker0-KB/s,NETTOTAL docker0-packets/s,NETTOTAL eth0-KB/s,NETTOTAL eth0-packets/s,NETTOTAL lo-KB/s,NETTOTAL lo-packets/s,NETTOTAL veth116834d-KB/s,NETTOTAL veth116834d-packets/s,PROC Runnable,PROC Blocked,PROC pswitch,PROC syscall,PROC read,PROC write,PROC fork,PROC exec,PROC sem,PROC msg,rcuos/0 (12) %CPU,rcuos/0 (12) %Usr,rcuos/0 (12) %Sys,rcuos/0 (12) %Wait,rcuos/0 (12) Size,rcuos/0 (12) ResSet,rcuos/0 (12) ResText,rcuos/0 (12) ResData,rcuos/0 (12) ShdLib,rcuos/0 (12) MinorFault,rcuos/0 (12) MajorFault,collectd (2255) %CPU,collectd (2255) %Usr,collectd (2255) %Sys,collectd (2255) %Wait,collectd (2255) Size,collectd (2255) ResSet,collectd (2255) ResText,collectd (2255) ResData,collectd (2255) ShdLib,collectd (2255) MinorFault,collectd (2255) MajorFault,systemd-journal (233) %CPU,systemd-journal (233) %Usr,systemd-journal (233) %Sys,systemd-journal (233) %Wait,systemd-journal (233) Size,systemd-journal (233) ResSet,systemd-journal (233) ResText,systemd-journal (233) ResData,systemd-journal (233) ShdLib,systemd-journal (233) MinorFault,systemd-journal (233) MajorFault,rightlink (2643) %CPU,rightlink (2643) %Usr,rightlink (2643) %Sys,rightlink (2643) %Wait,rightlink (2643) Size,rightlink (2643) ResSet,rightlink (2643) ResText,rightlink (2643) ResData,rightlink (2643) ShdLib,rightlink (2643) MinorFault,rightlink (2643) MajorFault,nmon (29717) %CPU,nmon (29717) %Usr,nmon (29717) %Sys,nmon (29717) %Wait,nmon (29717) Size,nmon (29717) ResSet,nmon (29717) ResText,nmon (29717) ResData,nmon (29717) ShdLib,nmon (29717) MinorFault,nmon (29717) MajorFault,rngd (312) %CPU,rngd (312) %Usr,rngd (312) %Sys,rngd (312) %Wait,rngd (312) Size,rngd (312) ResSet,rngd (312) ResText,rngd (312) ResData,rngd (312) ShdLib,rngd (312) MinorFault,rngd (312) MajorFault,rsyslogd (313) %CPU,rsyslogd (313) %Usr,rsyslogd (313) %Sys,rsyslogd (313) %Wait,rsyslogd (313) Size,rsyslogd (313) ResSet,rsyslogd (313) ResText,rsyslogd (313) ResData,rsyslogd (313) ShdLib,rsyslogd (313) MinorFault,rsyslogd (313) MajorFault,dbus-daemon (320) %CPU,dbus-daemon (320) %Usr,dbus-daemon (320) %Sys,dbus-daemon (320) %Wait,dbus-daemon (320) Size,dbus-daemon (320) ResSet,dbus-daemon (320) ResText,dbus-daemon (320) ResData,dbus-daemon (320) ShdLib,dbus-daemon (320) MinorFault,dbus-daemon (320) MajorFault,dockerd (701) %CPU,dockerd (701) %Usr,dockerd (701) %Sys,dockerd (701) %Wait,dockerd (701) Size,dockerd (701) ResSet,dockerd (701) ResText,dockerd (701) ResData,dockerd (701) ShdLib,dockerd (701) MinorFault,dockerd (701) MajorFault,nginx (7906) %CPU,nginx (7906) %Usr,nginx (7906) %Sys,nginx (7906) %Wait,nginx (7906) Size,nginx (7906) ResSet,nginx (7906) ResText,nginx (7906) ResData,nginx (7906) ShdLib,nginx (7906) MinorFault,nginx (7906) MajorFault,nginx (7907) %CPU,nginx (7907) %Usr,nginx (7907) %Sys,nginx (7907) %Wait,nginx (7907) Size,nginx (7907) ResSet,nginx (7907) ResText,nginx (7907) ResData,nginx (7907) ShdLib,nginx (7907) MinorFault,nginx (7907) MajorFault,google_accounts (860) %CPU,google_accounts (860) %Usr,google_accounts (860) %Sys,google_accounts (860) %Wait,google_accounts (860) Size,google_accounts (860) ResSet,google_accounts (860) ResText,google_accounts (860) ResData,google_accounts (860) ShdLib,google_accounts (860) MinorFault,google_accounts (860) MajorFault,docker-containe (926) %CPU,docker-containe (926) %Usr,docker-containe (926) %Sys,docker-containe (926) %Wait,docker-containe (926) Size,docker-containe (926) ResSet,docker-containe (926) ResText,docker-containe (926) ResData,docker-containe (926) ShdLib,docker-containe (926) MinorFault,docker-containe (926) MajorFault,nginx %CPU,nginx %Usr,nginx %Sys,nginx %Wait,nginx Size,nginx ResSet,nginx ResText,nginx ResData,nginx ShdLib,nginx MinorFault,nginx MajorFault,nginx Count,VM nr_dirty,VM nr_writeback,VM nr_unstable,VM nr_page_table_pages,VM nr_mapped,VM nr_slab,VM pgpgin,VM pgpgout,VM pswpin,VM pswpout,VM pgfree,VM pgactivate,VM pgdeactivate,VM pgfault,VM pgmajfault,VM pginodesteal,VM slabs_scanned,VM kswapd_steal,VM kswapd_inodesteal,VM pageoutrun,VM allocstall,VM pgrotated,VM pgalloc_high,VM pgalloc_normal,VM pgalloc_dma,VM pgrefill_high,VM pgrefill_normal,VM pgrefill_dma,VM pgsteal_high,VM pgsteal_normal,VM pgsteal_dma,VM pgscan_kswapd_high,VM pgscan_kswapd_normal,VM pgscan_kswapd_dma,VM pgscan_direct_high,VM pgscan_direct_normal,VM pgscan_direct_dma
2017-06-30,08:00:38,4.500,2.700,0.000,7.200,1.800,5.400,0.000,7.200,3.100,4.000,0.000,7.100,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4919.700,-0.000,-0.000,0.000,-0.000,1555.800,1173.400,-1.000,0.800,0.000,524.400,0.000,97.200,97.600,0.000,91.600,97.200,97.600,0.000,97.200,97.600,97.600,195.200,411.700,412.600,824.300,407.400,411.700,0.000,407.400,407.400,412.600,0.000,407.400,188.800,814.800,195.200,824.300,0.000,0.000,194.400,814.800,1.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,15739630858917710000.000,7744897725088032800.000,7994733133829678100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.000,0.000,0.000,1451.000,21660.000,-1.000,0.000,0.000,0.000,0.000,9587.000,5.000,0.000,31306.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,08:00:48,0.100,0.400,0.000,0.500,0.100,0.400,0.000,0.500,0.100,0.400,0.000,0.500,0.000,2.000,10.000,10.000,10.000,0.000,0.000,0.000,0.000,0.000,4.000,4.000,4.000,0.400,0.400,0.400,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4918.000,-0.000,-0.000,0.000,-0.000,1555.800,1173.500,-1.000,0.800,0.000,524.400,0.000,103.800,104.000,0.400,101.000,103.900,104.600,0.400,103.900,104.000,104.600,208.600,209.500,208.600,418.100,206.900,209.500,0.400,206.900,207.800,208.600,0.400,207.800,204.900,414.700,208.600,418.100,0.800,0.800,207.700,414.700,1.000,0.000,599.000,-1.000,-1.000,-1.000,0.800,-1.000,-1.000,-1.000,,,,,,,,,,,,0.100,0.000,0.100,0.000,854864.000,4548.000,204.000,738068.000,2864.000,20.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150,0.050,0.100,0.000,480060.000,34888.000,30612.000,397324.000,15856.000,0.000,0.000,0.100,0.000,0.100,0.000,55284.000,9400.000,1068.000,8144.000,1200.000,0.000,0.000,0.100,0.000,0.100,0.000,55776.000,9684.000,1068.000,8636.000,1056.000,0.000,0.000,,,,,,,,,,,,0.100,0.000,0.100,0.000,316136.000,10868.000,6696.000,303160.000,4276.000,37.000,0.000,0.200,0.000,0.200,0.000,111060.000,19084.000,2136.000,16780.000,2256.000,0.000,0.000,2.000,0.000,0.000,0.000,1451.000,21681.000,-1.000,0.000,40.000,0.000,0.000,1973.000,1.000,0.000,3123.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,08:00:58,0.000,0.100,0.000,0.100,0.000,0.300,0.000,0.300,0.000,0.200,0.000,0.200,0.000,2.000,6.000,6.000,6.000,0.100,0.200,0.000,0.000,0.000,4.800,4.800,4.800,0.800,0.800,0.800,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4917.900,-0.000,-0.000,0.000,-0.000,1555.800,1173.500,-1.000,0.800,0.000,524.400,0.000,120.200,120.200,0.000,117.400,120.100,120.200,0.000,120.100,120.200,120.200,240.400,201.700,201.900,403.600,201.000,201.700,0.000,201.000,200.700,201.900,0.000,200.700,237.500,401.700,240.400,403.600,0.000,0.000,240.300,401.700,1.000,0.000,460.800,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150,0.000,0.150,0.000,55284.000,9400.000,1068.000,8144.000,1200.000,0.000,0.000,0.100,0.000,0.100,0.000,55776.000,9684.000,1068.000,8636.000,1056.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,0.250,0.000,0.250,0.000,111060.000,19084.000,2136.000,16780.000,2256.000,0.000,0.000,2.000,1.000,0.000,0.000,1451.000,21681.000,-1.000,0.000,48.000,0.000,0.000,968.000,0.000,0.000,164.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,08:01:08,1.400,2.100,0.000,3.500,1.400,2.200,0.000,3.600,1.400,2.200,0.000,3.600,0.000,2.000,4.900,4.900,4.900,0.300,0.200,0.000,0.000,0.000,15.200,15.200,15.200,3.100,3.100,3.100,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4916.800,-0.000,-0.000,0.000,-0.000,1555.800,1173.500,-1.000,0.800,0.000,524.400,0.000,117.500,120.900,0.400,113.300,118.000,118.200,0.400,118.000,120.900,118.200,239.100,318.700,310.500,629.200,308.000,318.700,0.400,308.000,316.100,310.500,0.400,316.100,231.300,624.100,239.100,629.200,0.800,0.800,235.500,624.100,1.000,0.000,875.600,-1.000,-1.000,-1.000,11.800,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,0.150,0.050,0.100,0.000,102592.000,37760.000,252.000,764.000,37340.000,59.000,0.000,,,,,,,,,,,,,,,,,,,,,,,0.300,0.300,0.000,0.000,4368.000,588.000,20.000,380.000,496.000,0.000,0.000,0.100,0.050,0.050,0.000,539384.000,29952.000,500.000,221704.000,27096.000,0.000,0.000,0.100,0.050,0.050,0.000,98432.000,2092.000,408.000,74576.000,1432.000,0.000,0.000,0.100,0.050,0.050,0.000,480060.000,34888.000,30612.000,397324.000,15856.000,0.000,0.000,0.200,0.000,0.200,0.000,55284.000,9400.000,1068.000,8144.000,1200.000,0.000,0.000,0.100,0.000,0.100,0.000,55776.000,9684.000,1068.000,8636.000,1056.000,0.000,0.000,0.500,0.150,0.350,0.000,217188.000,13552.000,4.000,8748.000,4100.000,1734.000,0.000,0.100,0.050,0.050,0.000,316136.000,10868.000,6696.000,303160.000,4276.000,50.000,0.000,0.300,0.000,0.300,0.000,111060.000,19084.000,2136.000,16780.000,2256.000,0.000,0.000,2.000,9.000,0.000,0.000,1451.000,21693.000,-1.000,0.000,152.000,0.000,0.000,78580.000,78.000,0.000,158560.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,44486.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,08:01:18,0.000,0.200,0.000,0.200,0.000,0.200,0.000,0.200,0.100,0.200,0.000,0.300,0.000,2.000,9.000,9.000,9.000,0.000,0.000,0.000,0.000,0.000,3.600,3.600,3.600,0.400,0.400,0.400,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4918.200,-0.000,-0.000,0.000,-0.000,1555.800,1173.500,-1.000,0.800,0.000,524.400,0.000,118.300,118.400,0.000,115.200,118.400,117.200,0.000,118.400,118.400,117.200,235.600,229.600,228.900,458.500,227.300,229.600,0.000,227.300,228.100,228.900,0.000,228.100,233.600,455.400,235.600,458.500,0.000,0.000,236.700,455.400,1.000,0.000,512.000,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150,0.050,0.100,0.000,55284.000,9400.000,1068.000,8144.000,1200.000,0.000,0.000,0.100,0.000,0.100,0.000,55776.000,9684.000,1068.000,8636.000,1056.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,0.250,0.050,0.200,0.000,111060.000,19084.000,2136.000,16780.000,2256.000,0.000,0.000,2.000,0.000,0.000,0.000,1451.000,21693.000,-1.000,0.000,36.000,0.000,0.000,922.000,1.000,0.000,144.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,675.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,08:01:28,0.100,0.300,0.000,0.400,0.100,0.300,0.000,0.400,0.100,0.300,0.000,0.400,0.000,2.000,9.000,9.000,9.000,0.000,0.100,0.000,0.000,0.000,10.800,10.800,10.800,1.200,1.200,1.200,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4917.000,-0.000,-0.000,0.000,-0.000,1555.800,1173.500,-1.000,0.800,0.000,524.400,0.000,105.400,105.700,0.900,103.200,105.600,108.100,0.900,105.600,105.700,108.100,213.800,167.000,165.300,332.300,163.300,167.000,0.800,163.300,165.000,165.300,0.800,165.000,208.800,328.300,213.800,332.300,1.800,1.600,211.000,328.300,1.000,0.000,520.200,-1.000,-1.000,-1.000,0.900,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.050,0.050,0.000,361724.000,15448.000,3648.000,346048.000,5592.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.050,0.050,0.000,480060.000,34888.000,30612.000,397324.000,15856.000,0.000,0.000,0.100,0.000,0.100,0.000,55284.000,9400.000,1068.000,8144.000,1200.000,0.000,0.000,0.100,0.050,0.050,0.000,55776.000,9684.000,1068.000,8636.000,1056.000,0.000,0.000,,,,,,,,,,,,0.100,0.050,0.050,0.000,316136.000,10868.000,6696.000,303160.000,4276.000,36.000,0.000,0.200,0.050,0.150,0.000,111060.000,19084.000,2136.000,16780.000,2256.000,0.000,0.000,2.000,0.000,0.000,0.000,1451.000,21693.000,-1.000,0.000,108.000,0.000,0.000,2478.000,0.000,0.000,3080.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2674.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,08:01:38,0.100,0.300,0.000,0.400,0.100,0.100,0.000,0.200,0.100,0.200,0.000,0.300,0.000,2.000,4.000,4.000,4.000,0.000,0.000,0.000,0.000,0.000,0.400,0.400,0.400,0.100,0.100,0.100,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4918.200,-0.000,-0.000,0.000,-0.000,1555.800,1173.500,-1.000,0.800,0.000,524.400,0.000,128.600,128.700,0.000,124.600,128.700,128.400,0.000,128.700,128.700,128.400,257.100,293.300,293.500,586.800,292.500,293.300,0.000,292.500,292.300,293.500,0.000,292.300,253.300,584.800,257.100,586.800,0.000,0.000,257.300,584.800,1.000,0.000,623.600,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.200,0.000,0.200,0.000,55284.000,9400.000,1068.000,8144.000,1200.000,0.000,0.000,0.100,0.000,0.100,0.000,55776.000,9684.000,1068.000,8636.000,1056.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,0.300,0.000,0.300,0.000,111060.000,19084.000,2136.000,16780.000,2256.000,0.000,0.000,2.000,0.000,0.000,0.000,1451.000,21693.000,-1.000,0.000,4.000,0.000,0.000,1114.000,0.000,0.000,151.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,942.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,08:01:48,0.100,0.300,0.000,0.400,0.100,0.300,0.000,0.400,0.200,0.300,0.000,0.500,0.000,2.000,8.000,8.000,8.000,0.100,0.000,0.000,0.000,0.000,0.800,0.800,0.800,0.100,0.100,0.100,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4917.000,-0.000,-0.000,0.000,-0.000,1555.800,1173.500,-1.000,0.800,0.000,524.400,0.000,129.100,128.300,0.400,125.700,128.200,129.200,0.400,128.200,128.300,129.200,257.500,245.900,245.400,491.300,243.300,245.900,0.400,243.300,243.700,245.400,0.400,243.700,253.900,487.000,257.500,491.300,0.800,0.800,257.300,487.000,1.000,0.000,647.200,-1.000,-1.000,-1.000,0.900,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150,0.050,0.100,0.000,55284.000,9400.000,1068.000,8144.000,1200.000,0.000,0.000,0.100,0.050,0.050,0.000,55776.000,9684.000,1068.000,8636.000,1056.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,0.250,0.100,0.150,0.000,111060.000,19084.000,2136.000,16780.000,2256.000,0.000,0.000,2.000,0.000,0.000,0.000,1451.000,21693.000,-1.000,0.000,8.000,0.000,0.000,2943.000,0.000,0.000,4036.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3259.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,08:01:58,0.000,0.100,0.000,0.100,0.000,0.200,0.000,0.200,0.000,0.200,0.000,0.200,0.000,2.000,7.500,7.500,7.500,0.200,0.200,0.000,0.000,0.000,50.400,50.400,50.400,6.700,6.700,6.700,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4918.600,-0.000,-0.000,0.000,-0.000,1555.800,1173.500,-1.000,0.800,0.000,524.400,0.000,96.600,96.700,0.000,94.300,96.600,96.700,0.000,96.600,96.700,96.700,193.400,174.900,174.700,349.600,174.000,174.900,0.000,174.000,174.000,174.700,0.000,174.000,190.900,348.000,193.400,349.600,0.000,0.000,193.200,348.000,1.000,0.000,418.000,-1.000,-1.000,-1.000,0.000,-1.000,-1.000,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.050,0.050,0.000,480060.000,34888.000,30612.000,397324.000,15856.000,0.000,0.000,0.100,0.000,0.100,0.000,55284.000,9400.000,1068.000,8144.000,1200.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,0.100,0.050,0.050,0.000,316136.000,10868.000,6696.000,303160.000,4276.000,3.000,0.000,0.100,0.000,0.100,0.000,55284.000,9400.000,1068.000,8144.000,1200.000,0.000,0.000,1.000,1.000,0.000,0.000,1451.000,21693.000,-1.000,0.000,504.000,0.000,0.000,810.000,1.000,0.000,147.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,280.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-06-30,08:02:08,0.200,0.500,0.000,0.700,0.100,0.300,0.000,0.400,0.100,0.400,0.000,0.500,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.400,0.000,9.800,7.400,0.000,0.000,7.400,0.000,7480.400,-0.000,-0.000,0.000,4916.900,-0.000,-0.000,0.000,-0.000,1555.800,1173.500,-1.000,0.800,0.000,524.400,0.000,207.300,208.400,0.400,199.500,208.300,208.100,0.400,208.300,208.400,208.100,416.500,585.400,569.800,1155.200,567.700,585.400,0.400,567.700,583.500,569.800,0.400,583.500,407.800,1151.200,416.500,1155.200,0.800,0.800,415.600,1151.200,1.000,0.000,1063.700,-1.000,-1.000,-1.000,0.800,-1.000,-1.000,-1.000,,,,,,,,,,,,0.100,0.050,0.050,0.000,854864.000,4548.000,204.000,738068.000,2864.000,20.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350,0.050,0.300,0.000,55284.000,9400.000,1068.000,8144.000,1200.000,0.000,0.000,0.250,0.000,0.250,0.000,55776.000,9684.000,1068.000,8636.000,1056.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,0.600,0.050,0.550,0.000,111060.000,19084.000,2136.000,16780.000,2256.000,0.000,0.000,2.000,1.000,0.000,0.000,1451.000,21693.000,-1.000,0.000,0.000,0.000,0.000,3097.000,0.000,0.000,3054.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3625.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
